Tweet,Message,Matches,Polarity
317,"Canada leads the world In Education, Inclusion, Care for the Environment, and Care for the Needy. It is the 3 Best Country to Live In ",leads,positive
318,Happy Canada Day to all of ExploreLearning Canadian users We appreciated your dedication to education and further,appreciated,positive
319, bopinion I agree. We will get a better quality of Immigrant. ,better,positive
320,"RT Sunnydays180 AndrewScheer I'll celebrate Canada Day by talking to family, friends amp young people in my circle abt BENEFITS of Univers",celebrate,positive
321, ProudResister Because Canada doesnt start wars amp involve themselves in other peoples business. USA doesnt spen,,neutral
322, ActionBraxton1 003a04f8c2054b7 christianllamar AnnaBD20 CBSNews So Kamala can relate to inner city struggles o,struggles,negative
323,RT Mathgarden In light of the debates on Twitter regarding testing and memorization of math facts....zzzzzzzzzz I thought I would post t,,neutral
324," AndrewScheer I'll celebrate Canada Day by talking to family, friends amp young people in my circle abt BENEFITS of U",celebrate,positive
325,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
326,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,free,positive
327,Happy 7 year Wedding Anniversary to my beautiful bride Dagmar HappyCanadaDay I hope 1 day everyone everywhere,beautiful,positive
328,Deal of the Day from Noorart Buy Parents Respect For 4.00 instead of 7.99,,neutral
329,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
330, savoner Happy Canada Day 2019 Thank You so much for your amazing support to Canadian Education in Brazil ,"amazing,support",positive
331,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
332,"RT FireRobber albertaseparate AB can be self sustaining. We have, manufacturing, forestry, farming, resources, waterways, education, hea",,neutral
333,RT CC CRF Muslim kindergarten in Germany shut down due to links with Islamist extremists. Does the German education system have an entry,,neutral
334,"RT Cinder Ellen Celebrate CanadaDay2019 by purchasing a copy of CanadasGreatWaterAdventure, a ChildrensBook I co authored during my ti",,neutral
335,"Good morning, Canada, Happy 152 Birthday Best things about living here Free health care soon dental care , gov'",,neutral
336,Education News Canada Team wishes you Happy Canada Day amp Enjoy your Monday Off Consult our news ,,neutral
337,"RT EveCoCannabis Happy Canada Day As women, we're profoundly grateful to be Canadians. Canada is a country where we have equal access","profoundly,grateful",positive
338,"RT cristyn davies Canada highlights importance of comprehensive sexuality education that explains consent, respect for boundaries and una","comprehensive,respect",positive
339,"RT 1mohawklawyer ... enjoy the freedoms, education and services this country provides. The result of Indigenous loss, to the benefit of","enjoy,benefit",positive
340,"RT AbdullahSaad 90 Just listen to her,,, she admitted that she tried sex before in Saudi more easier than when she is in Canada . So the",easier,positive
341,"RT 1mohawklawyer ... enjoy the freedoms, education and services this country provides. The result of Indigenous loss, to the benefit of","enjoy,benefit",positive
342,RT CC CRF Muslim kindergarten in Germany shut down due to links with Islamist extremists. Does the German education system have an entry,,neutral
343,"RT DavideMastracci On Canada Day, read my article on why provinces should not force schools to play the anthem each morning. Mindless pat",,neutral
344,"RT 1mohawklawyer ... enjoy the freedoms, education and services this country provides. The result of Indigenous loss, to the benefit of","enjoy,benefit",positive
345,Muslim kindergarten in Germany shut down due to links with Islamist extremists. Does the German education system ha,,neutral
346," ... enjoy the freedoms, education and services this country provides. The result of Indigenous loss, to the benefi",enjoy,positive
347,RT wearenorth99 Canada's public services like healthcare and education are radically underfunded compared to other developed countries. h,"like,radically",neutral
348,"Happy Canada Day Don't miss out on the REDePassport Summer Sale Benefit from 1,500 hours of CPD incl. EDI",miss,negative
349,Happy Canada Day Ministry of Advanced Education offices are closed July 1 and 2. Enjoy your long weekend we resu,,neutral
350, fordnation Thanks for denying kids and adults a chance to get an education so they can break the cycle of poverty,"denying,break,poverty",negative
351,"RT The519 LGBTQ2 people continue to experience disproportionately higher rates of violence in Canada. To promote LGBTQ2 acceptance, educa",,neutral
352,"So grateful to be in this beautiful country Im grateful for the freedom, healthcare system, education and democr","grateful,beautiful",positive
353,"RT DavideMastracci On Canada Day, read my article on why provinces should not force schools to play the anthem each morning. Mindless pat",,neutral
354,"On Canada Day, read my article on why provinces should not force schools to play the anthem each morning. Mindless",,neutral
355,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
356,RT RegQualGenes Happy Canada Day to The Alberta Genealogical Society AGS ABGenealogy Throughout the province there are ten Branches s,,neutral
357,Canada Express entry is a point based immigration system. To enter the pool you should meet certain requirements fo,,neutral
358,Happy CanadaDay2019 Petition to stop CBC Horoscopes Let's end publicly funded horoscopes superstition,superstition,negative
359, Vancouver Citiz CanRevAgency Foreign money sent to Canadian residents must be income taxed in Canada as Canadian,,neutral
360,Happy Canada Day ,,neutral
361,"Happy Canada Day. Thankful to be a part of this incredible Country to vote, to have the freedom of choice, to lov","incredible,freedom",positive
362,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
363,Local initiatives are great to help Canadians better understand the health effects of cannabis use and the risks of,"great,better,risks",positive
364,Happy Canada Day to The Alberta Genealogical Society AGS ABGenealogy Throughout the province there are ten Bran,,neutral
365,Toute l'quipe d' AMEQEmplois vous souhaite une bonne Fte du Canada et un bon cong Profitez en pour aller,,neutral
366,I'm fortunate amp grateful to call Canada my home after immigrating w my family. No country is perfect but having af,"fortunate,grateful,perfect",positive
367,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
368,Enroll Udemy for AgileHR An Introduction course udemycoupon udemycourses india usa,,neutral
369,"Students who wish to study MBBS and further education after 12th Grade in China and Canada, may contact OVERSEAS PO",,neutral
370,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
371,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
372,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
373,RT TundeTASH Top 10 Certificates in Canada in 2019 1. Sales Professional Certificate 2. Certificate in Education Assistant 3. Certifica,,neutral
374,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,free,positive
375," 1mohawklawyer RussDiabo Happy Canada Day Stephen and Russ. May you continue to enjoy the freedoms, education and",enjoy,positive
376,"Marie Battiste, Mi'kmaw pioneer in Indigenous education, named to Order of Canada",,neutral
377," Vancouver Citiz bcliberals Wilkinson4BC UBC No, my view on international students isn't faulty. Canada is alrea",,neutral
378,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
379,"Feeling gratefulandblessed to live in a peaceful country where we are all equal and have rights, like education","peaceful,like",positive
380,RT AviBenlolo Why Holocaust Education About 35 per cent of respondents across Canada said they did not learn in school that roughly six m,,neutral
381,"RT CanadianKayMD Chhavi66 NeilFlochMD This is in Canada, yes. Workers can take mat leave with pay, but I was a student. I could have ta",,neutral
382,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,free,positive
383,"Sometimes starting is the hardest part. Whatever goals you have set for yourself, the time to start is now. We are",,neutral
384,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
385,RT TundeTASH Top 10 Certificates in Canada in 2019 1. Sales Professional Certificate 2. Certificate in Education Assistant 3. Certifica,,neutral
386,RT HuffPostCanada Here's how Canada Day can serve as an opportunity for education,,neutral
387," Chhavi66 NeilFlochMD This is in Canada, yes. Workers can take mat leave with pay, but I was a student. I could ha",,neutral
388,"RT howardstribbell Happy Canada Day While I cant package Canadas full scenic beauty, I am proud to be sharing Canadas values and edu","scenic,proud",positive
389,"Canada is an amazing country and I love being Canadian, but we have a lot to work on. Our First Nations deserve bet","amazing,love,work",positive
390,RT MarieRose42 Les Qubcois ont vot et choisi a 65 . C'est la majorit et c'est de la DMOCRATIE SI pas content CHANGEZ DE PROVINCE,,neutral
391, rosapisces rin simon sarahjohn64 TorontoStar Im sorry. I was tired and missed your irony. I totally agree with,"tired,missed",negative
392,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
393,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
394,"Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.",,neutral
395,RT HuffPostCanada Here's how Canada Day can serve as an opportunity for education,,neutral
396,"RT LauraHodgins Happy Canada Day So much to be thankful for public education, universal health care, diversity and inclusion, humilit",thankful,positive
397,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
398,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
399,"Jade Raymond Canadian video game producer Born Montreal, Canada Date of birth 1975 08 28 Education Collge",,neutral
400,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
401,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,free,positive
402,"Philippe de Gasp Beaubien Canadian media proprietor Born Outremont, Quebec, Montreal, Canada Date of birth ",,neutral
403,"RT sociodoctor Bendigo first place outside of Canada to draw on the city studio model, an innovative approach to regional higher educat",innovative,positive
404,Study at one of the top public colleges in Canada with Global Study Consultancy Centennial College welcomes you i,top,positive
405,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
406,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
407,"IELTS TOELF SAT Enroll for IELTS, TOEFL and SAT preparatory classes for high score in IELTS, TOEFL, SAT at Fhob",,neutral
408,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
409,"Under Harper, Canada dropped from 8th to 19th globally in gender pay equity. trailing Latvia and Burundi. With para",,neutral
410,"RT cristyn davies Canada highlights importance of comprehensive sexuality education that explains consent, respect for boundaries and una","comprehensive,respect",positive
411,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
412, ValaAfshar salesforce Happy CanadaDay We at TLPCanada SalesforceOrg your nonprofit branch that supports edu,supports,positive
413,"Happy Canada Day As women, we're profoundly grateful to be Canadians. Canada is a country where we have equal ac","profoundly,grateful",positive
414,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
415,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
416,HAPPY MOTHER FUCKING CANADA DAY BITCHES ON THIS DAY LET US REMEMBER WHY WE TRULY ARE BLESSED TO BE C,,neutral
417,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
418,"Happy Canada Day While I cant package Canadas full scenic beauty, I am proud to be sharing Canadas values and","scenic,proud",positive
419,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
420,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
421,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
422,"RT kushner bobby MacLeodLisa I understand the cuts. These social programs result in little difference, except for the program administra",,neutral
423, Creation Scientists Christopher Oldcorn on Patreon blog essay religion christianity church Genesis,,neutral
424,"RT complaints guru Canada Amid sweeping changes to autism and education funding, province's Ombudsman received ea","complaints,sweeping",neutral
425,"Good morning, Twitteros May your day be full of love and adventure And to my fellow Canadians HAPPY CANADA DAY ",love,positive
426,RT KevinSmithUHN Wishing all a Happy Canada Day from UHN As an academic organization always add education to celebration See qu,celebration,positive
427,"Canada Amid sweeping changes to autism and education funding, province's Ombudsman received earful",sweeping,positive
428,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
429,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
430,Happy Canada Day from The REITE Club The REITE Club is proud to have built an inclusive and welcoming space for a,proud,positive
431,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
432,Les Qubcois ont vot et choisi a 65 . C'est la majorit et c'est de la DMOCRATIE SI pas content CHANGEZ DE P,,neutral
433,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
434,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
435,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
436,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
437,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
438,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
439,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
440,"RT Chasingharmony1 CPC HQ That's exactly what I intend to do. With your attacks on healthcare, education, innovation, environment amp CPP,",attacks,negative
441,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
442,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
443,"RT larochecbc Marie Battiste, Mi'kmaw pioneer in Indigenous education, named to Order of Canada",,neutral
444,The Vanier Canada Graduate Scholarships https t.co rSnDigAzZx Education mondaymotivation University,,neutral
445,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
446," CNN IamSamS she got a good education in Canada where she moved as a very young child, KamalaHarrislies",good,positive
447,The Sustainability and Education Policy Network SEPN has published an evaluation of UNESCOs global climate chang,,neutral
448,"RT Chasingharmony1 CPC HQ That's exactly what I intend to do. With your attacks on healthcare, education, innovation, environment amp CPP,",attacks,negative
449,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
450,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
451,Happy Canada Day from all the staff of Caring for Clients finances planning personalfinance advice education,,neutral
452,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
453,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
454,"Happy Canada Day So much to be thankful for public education, universal health care, diversity and inclusion, h",thankful,positive
455,"RT Sunnydays180 LYING AndrewScheer CPC HQ are the only threats facing Canada Andrew Scheer works for big oil, the wealthy amp elites Andr","threats,works,wealthy",positive
456,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
457,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
458,"RT PattyHajdu While Ford is cutting OSAP, were making post secondary education more affordable by The available amp eligibility for","affordable,available",positive
459,STUDY IN CANADA SEMINAR conducted at various Elite Overseas Education Consultant Navsari. ELITE OVERSEAS EDUCATION,,neutral
460,"RT Chasingharmony1 CPC HQ That's exactly what I intend to do. With your attacks on healthcare, education, innovation, environment amp CPP,",attacks,negative
461, July1st mondaythoughts MondayMotivaton CANADA CanadianGP EducationFest education,,neutral
462,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
463,"RT AbdullahSaad 90 Just listen to her,,, she admitted that she tried sex before in Saudi more easier than when she is in Canada . So the",easier,positive
464,"RT Joe122073 Section8Offici1 1691UK SoufMiztahSippi AylinMerriweat1 Recalling basic elementary school education, Canada is part of th",,neutral
465,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
466,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
467,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
468,Canada Science and Technology Museum Images of Canada A Canadian History,,neutral
469,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
470,RT eqt EQTs CDO olofhernell in Swedbank's panel on AI as a national growth engine for economy and society with Helene Hellmark Knuts,,neutral
471,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
472,IEP aller inscrire vos enfants pour une Meilleur education 6eme en Tle cours d'anglais pour ceux qui veulent voy,,neutral
473,"The provinces have responsibility for health care, education and welfare. If your system is failing it's your respo",failing,negative
474,According to QS rankings the universities in the world's top 300. United States 58 United Kingdom 35 Australia ,top,positive
475,RT eqt EQTs CDO olofhernell in Swedbank's panel on AI as a national growth engine for economy and society with Helene Hellmark Knuts,,neutral
476,"Canada highlights importance of comprehensive sexuality education that explains consent, respect for boundaries and","comprehensive,respect",positive
477,"RT Chasingharmony1 CPC HQ That's exactly what I intend to do. With your attacks on healthcare, education, innovation, environment amp CPP,",attacks,negative
478,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
479,RT CMAJ Racism against Indigenous people remains a major problem in medical education. Here's what Canada's medical schools have committe,problem,negative
480,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
481, Creation Scientists Christopher Oldcorn blog essay religion christianity church Genesis news education,,neutral
482,"RT CanadainUAE University Health Network UHN , Canada's largest research hospital, and the Dubai Health Authority sign an agreement to",,neutral
483,"Study at George Brown College in Toronto, Canada with Global Study Consultancy George Brown College opened its doo",,neutral
484,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
485,"RT AbdullahSaad 90 Just listen to her,,, she admitted that she tried sex before in Saudi more easier than when she is in Canada . So the",easier,positive
486,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
487,"RT FireRobber albertaseparate AB can be self sustaining. We have, manufacturing, forestry, farming, resources, waterways, education, hea",,neutral
488,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
489,RT jennihayman . CCUNESCO attending and participating at the OE4BW open education for a better world conference in Slovenia and want to,better,positive
490,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
491,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
492,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
493,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
494,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
495,RT verenanz Slovenian UNESCO amp University leaders talking about how we need to work together 2change education systems in order2create g,work,positive
496,. CCUNESCO attending and participating at the OE4BW open education for a better world conference in Slovenia and w,better,positive
497,EQTs CDO olofhernell in Swedbank's panel on AI as a national growth engine for economy and society with Helene,,neutral
498,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
499,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
500,Fund my Education https t.co LhXP4Q4wfa WeStandWithTaylor Canada MondayMorning mondaythoughts,,neutral
501,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
502,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
503,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,free,positive
504,RT IndiraFeustel Happy Castle25 QueensBISC QUchancellor leads queensualumni amp BISC graduates in OilThigh What an amazing place to,"leads,amazing",positive
505,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
506,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
507,Slovenian UNESCO amp University leaders talking about how we need to work together 2change education systems in orde,work,positive
508,Thanks to CanadaLebanon we are able to support hundreds of thousands of vulnerable families in Lebanon . But mos,"support,vulnerable",neutral
509,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
510,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
511,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
512,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
513,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
514,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
515,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
516,"RT EdgyBusiness One day to be thankful for Canada and all the things we may take for granted. Like the clean air we breathe, the oceans,","thankful,clean",positive
517,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
518,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
519,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
520,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
521,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
522,"RT FireRobber albertaseparate AB can be self sustaining. We have, manufacturing, forestry, farming, resources, waterways, education, hea",,neutral
523,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
524, cbeebiesnow according to an episode of Go Jetters North America is made up of Canada and U.S. which is wrong cause,wrong,negative
525,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
526,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
527,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
528,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
529,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
530,"This is Canada. Where people of different races, religions, education, and completely different backgrounds can not",,neutral
531,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
532,"RT AbdullahSaad 90 Just listen to her,,, she admitted that she tried sex before in Saudi more easier than when she is in Canada . So the",easier,positive
533,RT ARMYMAGofficial BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs name,,neutral
534,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
535, BTSonMedia mbcnews reported that BTS twts Jungkook appeared in a Malaysian Universitys final exam JKs n,,neutral
536,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
537,"RT FireRobber albertaseparate AB can be self sustaining. We have, manufacturing, forestry, farming, resources, waterways, education, hea",,neutral
538,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
539," albertaseparate AB can be self sustaining. We have, manufacturing, forestry, farming, resources, waterways, educat",,neutral
540,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
541,"Khem Birch Basketball player Born Montreal, Canada Education University of Nevada, Las Vegas",,neutral
542,Extremely relevant in Canada too. Most physicians receive less than 5 hours of education around eatingdisorders,,neutral
543,"RT AvanseEduLoan This CanadaDay, lets celebrate the exceptional Canadian Education System along with a customized education loan from Av","celebrate,exceptional",positive
544," JohnBrennan Traitor, I'm an American and I don't agree with your statement and neither does most of the proud free","proud,free",positive
545,"RT AvanseEduLoan This CanadaDay, lets celebrate the exceptional Canadian Education System along with a customized education loan from Av","celebrate,exceptional",positive
546,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
547,What Is An Educational Credential Assessment Report And How Do I Obtain One ,,neutral
548, JustinTrudeau Also applied in Federal Express Entry. My intention was never to provide misleading false documents.,"misleading,false",negative
549," JustinTrudeau Dear Respected Honorable Prime Minister, seek your help in migrating to Canada.Had applied for Quebe",,neutral
550,"RT theworldindex Quality of primary education, 2017. of 137 countries 1.Finland 2.Switzerland 3.Singapore 9.Canada 10.Qatar",,neutral
